Unic Identifier,Database,Gene,Species,TaxID,Last update,Sequence version
UPI0007DCD4FF,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCD623,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCD6D4,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCD7A2,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCD839,UniProtKB/TrEMBL,ATP6,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DCD972,UniProtKB/TrEMBL,ND1,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCDA37,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCDBE6,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCDC21,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCDC5A,UniProtKB/TrEMBL,COX3,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCDC83,UniProtKB/TrEMBL,ND4,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCDCDD,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCDD52,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCDE45,UniProtKB/TrEMBL,ATP6,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DCDEBC,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCDF2C,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE179,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE215,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE40D,UniProtKB/TrEMBL,ND2,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE436,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCE496,UniProtKB/TrEMBL,ND1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCE6BD,UniProtKB/TrEMBL,ND6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCE773,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE796,UniProtKB/TrEMBL,COX1,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCE891,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE8EC,UniProtKB/TrEMBL,ND6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE8F0,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCE987,UniProtKB/TrEMBL,ND3,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DCEAD8,UniProtKB/TrEMBL,CYTB,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCEBE9,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCEC27,UniProtKB/TrEMBL,COX1,Mammuthus columbi,1027716,2023-06-28,1
UPI0007DCEC47,UniProtKB/TrEMBL,ND4,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCEC7B,UniProtKB/TrEMBL,ND5,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCEED7,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCEF2B,UniProtKB/TrEMBL,COX3,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCF018,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCF03A,UniProtKB/TrEMBL,CYTB,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCF20C,UniProtKB/TrEMBL,ATP6,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCF20F,UniProtKB/TrEMBL,ATP6,Mammuthus sp.,1851651,2023-06-28,1
UPI0007DCF370,UniProtKB/TrEMBL,ND5,Mammuthus primigenius,37349,2023-06-28,1
UPI0007DCF47C,UniProtKB/TrEMBL,ND4L,Mammuthus sp.,1851651,2023-06-28,1
